瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),利汲(cm),3矫埃脚利汲(cm)
192,柳林,2021-01-01 01:00,-4.6,,,,.4,,0,,80,,3.5,-7.5,,
192,柳林,2021-01-01 02:00,-3,,,,.8,,340,,57,,2.8,-10.3,,
192,柳林,2021-01-01 03:00,-3.8,,,,.3,,0,,59,,2.7,-10.6,,
192,柳林,2021-01-01 04:00,-5.7,,,,.1,,0,,70,,2.8,-10.3,,
192,柳林,2021-01-01 05:00,-6.9,,,,.2,,0,,78,,2.9,-10,,
192,柳林,2021-01-01 06:00,-7.6,,,,.5,,50,,83,,2.9,-9.9,,
192,柳林,2021-01-01 07:00,-8.2,,,,.3,,0,,86,,2.8,-10.1,,
192,柳林,2021-01-01 08:00,-8,,,,.2,,0,,87,,2.9,-9.7,,
192,柳林,2021-01-01 09:00,-5,,,,.1,,0,,78,,3.3,-8.2,,
192,柳林,2021-01-01 10:00,-2.3,,,,.6,,250,,64,,3.3,-8.1,,
192,柳林,2021-01-01 11:00,.1,,,,1.6,,250,,58,,3.6,-7.2,,
192,柳林,2021-01-01 12:00,1.9,,,,1.9,,160,,54,,3.8,-6.4,,
192,柳林,2021-01-01 13:00,2.7,,,,1.9,,160,,55,,4.1,-5.4,,
192,柳林,2021-01-01 14:00,4.5,,,,2.6,,250,,49,,4.1,-5.3,,
192,柳林,2021-01-01 15:00,4,,,,2.8,,250,,47,,3.8,-6.3,,
192,柳林,2021-01-01 16:00,4.1,,,,3.5,,250,,44,,3.6,-7,,
192,柳林,2021-01-01 17:00,3,,,,2.6,,230,,48,,3.6,-6.9,,
192,柳林,2021-01-01 18:00,2.2,,,,2.9,,250,,49,,3.5,-7.4,,
192,柳林,2021-01-01 19:00,1.6,,,,2.6,,250,,54,,3.7,-6.7,,
192,柳林,2021-01-01 20:00,1.1,,,,1.3,,290,,59,,3.9,-6,,
192,柳林,2021-01-01 21:00,-2.5,,,,.8,,70,,72,,3.7,-6.8,,
192,柳林,2021-01-01 22:00,-3.1,,,,.6,,70,,75,,3.6,-6.9,,
192,柳林,2021-01-01 23:00,-4,,,,0,,0,,80,,3.6,-6.9,,
192,柳林,2021-01-02 00:00,-4.2,,,,.9,,70,,80,,3.6,-7.1,,
192,柳林,2021-01-02 01:00,-4.1,,,,.8,,50,,80,,3.6,-7,,
192,柳林,2021-01-02 02:00,-3.8,,,,.2,,0,,81,,3.8,-6.5,,
192,柳林,2021-01-02 03:00,-3.3,,,,.5,,70,,79,,3.8,-6.4,,
192,柳林,2021-01-02 04:00,-3.3,,,,.9,,70,,82,,3.9,-5.9,,
192,柳林,2021-01-02 05:00,-3.3,,,,.1,,0,,80,,3.8,-6.2,,
192,柳林,2021-01-02 06:00,-3.3,,,,.6,,50,,81,,3.9,-6.1,,
192,柳林,2021-01-02 07:00,-4.1,,,,.2,,0,,85,,3.8,-6.2,,
192,柳林,2021-01-02 08:00,-4,,,,.1,,0,,86,,3.9,-6,,
192,柳林,2021-01-02 09:00,-2.1,,,,.2,,0,,83,,4.3,-4.6,,
192,柳林,2021-01-02 10:00,.4,,,,.4,,0,,72,,4.5,-4,,
192,柳林,2021-01-02 11:00,2,,,,.7,,200,,65,,4.6,-3.9,,
192,柳林,2021-01-02 12:00,3.2,,,,1.3,,250,,57,,4.4,-4.5,,
192,柳林,2021-01-02 13:00,4.5,,,,1.1,,250,,52,,4.4,-4.5,,
192,柳林,2021-01-02 14:00,5.4,,,,1.4,,320,,38,,3.4,-7.8,,
192,柳林,2021-01-02 15:00,4.8,,,,2.7,,360,,35,,3,-9.4,,
192,柳林,2021-01-02 16:00,3.9,,,,2.7,,360,,32,,2.6,-11.3,,
192,柳林,2021-01-02 17:00,2.5,,,,2.4,,340,,31,,2.3,-12.9,,
192,柳林,2021-01-02 18:00,1.5,,,,2.4,,360,,30,,2,-14.2,,
192,柳林,2021-01-02 19:00,.4,,,,1.8,,20,,33,,2.1,-14,,
192,柳林,2021-01-02 20:00,.1,,,,2.5,,360,,35,,2.2,-13.5,,
192,柳林,2021-01-02 21:00,-.7,,,,2,,50,,38,,2.2,-13.2,,
192,柳林,2021-01-02 22:00,-.9,,,,1.9,,50,,38,,2.2,-13.4,,
192,柳林,2021-01-02 23:00,-1.2,,,,1.5,,70,,38,,2.1,-13.7,,
192,柳林,2021-01-03 00:00,-3.1,,,,.7,,270,,49,,2.4,-12.3,,
192,柳林,2021-01-03 01:00,-4.1,,,,.5,,200,,60,,2.7,-10.7,,
192,柳林,2021-01-03 02:00,-4.7,,,,.5,,50,,65,,2.8,-10.2,,
192,柳林,2021-01-03 03:00,-4.6,,,,.2,,0,,64,,2.8,-10.3,,
192,柳林,2021-01-03 04:00,-4.7,,,,.4,,0,,62,,2.7,-10.8,,
192,柳林,2021-01-03 05:00,-4.2,,,,.2,,0,,59,,2.6,-11,,
192,柳林,2021-01-03 06:00,-2.1,,,,1.2,,20,,44,,2.3,-12.7,,
192,柳林,2021-01-03 07:00,-1.5,,,,1,,20,,36,,2,-14.6,,
192,柳林,2021-01-03 08:00,-1.8,,,,1.4,,20,,36,,1.9,-14.9,,
192,柳林,2021-01-03 09:00,-1.3,,,,1.8,,20,,34,,1.9,-15.1,,
192,柳林,2021-01-03 10:00,.2,,,,1.3,,360,,35,,2.2,-13.4,,
192,柳林,2021-01-03 11:00,1.4,,,,.7,,110,,34,,2.3,-12.7,,
192,柳林,2021-01-03 12:00,2.5,,,,1.3,,270,,34,,2.5,-11.8,,
192,柳林,2021-01-03 13:00,3.8,,,,1.1,,270,,32,,2.6,-11.4,,
192,柳林,2021-01-03 14:00,4.9,,,,1.1,,270,,30,,2.6,-11.2,,
192,柳林,2021-01-03 15:00,5.4,,,,3.4,,360,,24,,2.1,-13.6,,
192,柳林,2021-01-03 16:00,4.5,,,,2.6,,360,,28,,2.4,-12.4,,
192,柳林,2021-01-03 17:00,3.7,,,,1.3,,20,,29,,2.3,-12.7,,
