瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),利汲(cm),3矫埃脚利汲(cm)
192,柳林,2019-01-01 01:00,-5.9,0,,,.6,,50,,49,0,1.9,-14.9,,
192,柳林,2019-01-01 02:00,-6.5,0,,,.5,,50,,50,0,1.9,-15.2,,
192,柳林,2019-01-01 03:00,-7.2,0,,,.1,,0,,57,0,2,-14.2,,
192,柳林,2019-01-01 04:00,-7.4,0,,,.2,,0,,58,0,2,-14.2,,
192,柳林,2019-01-01 05:00,-6.3,0,,,.9,,230,,61,0,2.3,-12.6,,
192,柳林,2019-01-01 06:00,-6.6,0,,,.3,,0,,64,0,2.4,-12.2,,
192,柳林,2019-01-01 07:00,-6.9,0,,,.1,,0,,69,0,2.5,-11.6,,
192,柳林,2019-01-01 08:00,-6.7,0,,,.1,,0,,71,0,2.6,-11,,
192,柳林,2019-01-01 09:00,-2.5,0,,,.5,,160,,57,0,2.9,-9.8,,
192,柳林,2019-01-01 10:00,-.2,0,,,.4,,0,,47,0,2.8,-10.1,,
192,柳林,2019-01-01 11:00,2.3,0,,,.7,,360,,39,0,2.8,-10.2,,
192,柳林,2019-01-01 12:00,3.7,0,,,.7,,200,,35,0,2.8,-10.3,,
192,柳林,2019-01-01 13:00,4.4,0,,,2.3,,250,,32,0,2.7,-10.8,,
192,柳林,2019-01-01 14:00,5.1,0,,,1.9,,250,,31,0,2.7,-10.6,,
192,柳林,2019-01-01 15:00,5.5,0,,,2.5,,320,,30,0,2.7,-10.7,,
192,柳林,2019-01-01 16:00,4.3,0,,,3.7,,360,,35,0,2.9,-9.8,,
192,柳林,2019-01-01 17:00,2.7,0,,,1.3,,20,,38,0,2.8,-10.2,,
192,柳林,2019-01-01 18:00,1.5,0,,,1.1,,70,,46,0,3.1,-8.8,,
192,柳林,2019-01-01 19:00,1.2,0,,,1.8,,360,,44,0,2.9,-9.7,,
192,柳林,2019-01-01 20:00,.7,0,,,1.6,,340,,43,0,2.8,-10.4,,
192,柳林,2019-01-01 21:00,-1.2,0,,,.6,,90,,49,0,2.8,-10.5,,
192,柳林,2019-01-01 22:00,-.9,0,,,1,,270,,51,0,2.9,-9.7,,
192,柳林,2019-01-01 23:00,-2.9,0,,,.3,,0,,60,0,3,-9.5,,
192,柳林,2019-01-02 00:00,-3.9,0,,,.2,,0,,65,0,3,-9.5,,
192,柳林,2019-01-02 01:00,-4.1,0,,,.9,,50,,63,0,2.8,-10.1,,
192,柳林,2019-01-02 02:00,-3.2,0,,,1.2,,200,,72,0,3.5,-7.5,,
192,柳林,2019-01-02 03:00,-4.8,0,,,.2,,0,,74,0,3.2,-8.7,,
192,柳林,2019-01-02 04:00,-4.9,0,,,.7,,360,,71,0,3,-9.3,,
192,柳林,2019-01-02 05:00,-5.9,0,,,.2,,0,,68,0,2.7,-10.8,,
192,柳林,2019-01-02 06:00,-5.5,0,,,0,,0,,60,0,2.4,-12,,
192,柳林,2019-01-02 07:00,-6.3,0,,,.1,,0,,65,0,2.5,-11.8,,
192,柳林,2019-01-02 08:00,-6.3,0,,,0,,0,,70,0,2.7,-10.8,,
192,柳林,2019-01-02 09:00,-2.5,0,,,.1,,0,,68,0,3.5,-7.6,,
192,柳林,2019-01-02 10:00,.8,0,,,.1,,0,,48,0,3.1,-8.9,,
192,柳林,2019-01-02 11:00,2,0,,,1,,270,,44,0,3.1,-9,,
192,柳林,2019-01-02 12:00,4,0,,,1.6,,250,,32,0,2.6,-11.2,,
192,柳林,2019-01-02 13:00,5.8,0,,,2.8,,290,,26,0,2.4,-12.2,,
192,柳林,2019-01-02 14:00,6.4,0,,,3.2,,340,,22,0,2.1,-13.8,,
192,柳林,2019-01-02 15:00,6,0,,,3.7,,360,,22,0,2.1,-14.1,,
192,柳林,2019-01-02 16:00,5.6,0,,,3.2,,340,,25,0,2.3,-12.9,,
192,柳林,2019-01-02 17:00,4.1,0,,,2,,320,,28,0,2.3,-12.8,,
192,柳林,2019-01-02 18:00,2.6,0,,,1.5,,340,,31,0,2.3,-12.8,,
192,柳林,2019-01-02 19:00,1.2,0,,,.6,,320,,34,0,2.3,-12.9,,
192,柳林,2019-01-02 20:00,-1,0,,,.2,,0,,42,0,2.4,-12.3,,
192,柳林,2019-01-02 21:00,.2,0,,,.9,,340,,40,0,2.5,-11.8,,
192,柳林,2019-01-02 22:00,-3.1,0,,,.8,,50,,53,0,2.6,-11.3,,
192,柳林,2019-01-02 23:00,-4,0,,,.2,,0,,59,0,2.7,-10.8,,
192,柳林,2019-01-03 00:00,-4.5,0,,,.2,,0,,63,0,2.8,-10.4,,
192,柳林,2019-01-03 01:00,-5.3,0,,,.4,,0,,67,0,2.8,-10.4,,
192,柳林,2019-01-03 02:00,-6,0,,,.3,,0,,71,0,2.8,-10.4,,
192,柳林,2019-01-03 03:00,-6.6,0,,,.1,,0,,73,0,2.7,-10.6,,
192,柳林,2019-01-03 04:00,-7.3,0,,,.1,,0,,77,0,2.7,-10.6,,
192,柳林,2019-01-03 05:00,-7.8,0,,,.1,,0,,78,0,2.7,-10.9,,
192,柳林,2019-01-03 06:00,-8.4,0,,,.4,,0,,80,0,2.6,-11.2,,
192,柳林,2019-01-03 07:00,-8.3,0,,,.2,,0,,83,0,2.7,-10.6,,
192,柳林,2019-01-03 08:00,-8.4,0,,,.1,,0,,80,0,2.6,-11.2,,
192,柳林,2019-01-03 09:00,-3.4,0,,,0,,0,,66,0,3.1,-8.8,,
